movieId,genres,numVotes,primaryTitle,startYear,actors,directors,averageRating
55,"drama,romance",8,bed of roses,1996,"Christian Slater,Mary Stuart Masterson,Pamela Adlon,Josh Brolin,Brian Tarantina,Debra Monk,Mary Alice,Kenneth Cranham,Ally Walker,Anne Pitoniak",['Michael Goldenberg'],8
56,"comedy,drama",5,big bully,1996,"Rick Moranis,Tom Arnold,Julianne Phillips,Carol Kane,Jeffrey Tambor,Curtis Armstrong,Faith Prince,Tony Pierce,Don Knotts,Blake Bashoff",['Steve Miner'],4.4
57,"action,sci-fi,thriller",15,screamers,2006,,['Carla Garapedian'],6.8
58,documentary,1,nico icon,1995,,['Susanne Ofteringer'],8
59,"crime,drama,romance",14,things to do in denver when you're dead,1995,"Andy Garcia,Christopher Walken,Christopher Lloyd,William Forsythe,Bill Nunn,Treat Williams,Jack Warden,Steve Buscemi,Fairuza Balk,Gabrielle Anwar",['Gary Fleder'],6.214285714
60,"drama,romance",1,once upon a time... when we were colored,1995,"Al Freeman Jr.,Phylicia Rashad,Leon,Paula Kelly,Salli Richardson-Whitfield,Anna Maria Horsford,Bernie Casey,Isaac Hayes,Ray J,Karen Malina White",['Tim Reid'],6
61,"drama,romance",7,angels and insects,1995,"Mark Rylance,Kristin Scott Thomas,Patsy Kensit,Jeremy Kemp,Douglas Henshall,Annette Badland,Chris Larkin,Anna Massey,Saskia Wickham,Lindsay Thomas",['Philip Haas'],7.714285714
62,"action,adventure,drama",15,white squall,1996,"Jeff Bridges,Caroline Goodall,John Savage,Scott Wolf,Jeremy Sisto,Ryan Phillippe,David Lascher,Eric Michael Cole,Jason Marsden,David Selby",['Ridley Scott'],7.933333333
63,"children,comedy",7,dunston checks in,1996,"Jason Alexander,Faye Dunaway,Eric Lloyd,Rupert Everett,Graham Sack,Paul Reubens,Glenn Shadix,Nathan Davis,Jennifer Bassey,Judith Scott",['Ken Kwapis'],5
64,comedy,16,black sheep,2016,"Mitchell James Huberty,Audrey Levan,Jeremiah Turner,Ross Turner",['Mitchell James Huberty'],6.3125
65,"action,thriller",10,nick of time,1995,"Johnny Depp,Christopher Walken,Courtney Chase,Charles S. Dutton,Roma Maffia,Marsha Mason,Peter Strauss,Gloria Reuben,Bill Smitrovich,G.D. Spradlin",['John Badham'],6.5
66,"drama,horror,thriller",8,mary reilly,1996,"Julia Roberts,John Malkovich,John Malkovich,George Cole,Michael Gambon,Kathy Staff,Glenn Close,Michael Sheen,Bronagh Gallagher,Linda Bassett,Henry Goodman",['Stephen Frears'],5.25
67,"comedy,horror,romance",9,vampire in brooklyn,1995,"Eddie Murphy,Eddie Murphy,Eddie Murphy,Angela Bassett,Allen Payne,Kadeem Hardison,John Witherspoon,Zakes Mokae,Joanna Cassidy,Simbi Kali,Messiri Freeman,Kelly Cinnante",['Wes Craven'],5.666666667
68,"comedy,drama,romance",10,beautiful girls,1996,"Matt Dillon,Timothy Hutton,Noah Emmerich,Annabeth Gish,Lauren Holly,Rosie O'Donnell,Max Perlich,Martha Plimpton,Natalie Portman,Michael Rapaport",['Ted Demme'],7.9
69,"action,adventure,thriller",84,broken arrow,1996,"John Travolta,Christian Slater,Samantha Mathis,Delroy Lindo,Bob Gunton,Frank Whaley,Howie Long,Vondie Curtis-Hall,Jack Thompson,Vyto Ruginis",['John Woo'],6.047619048
70,"drama,thriller",14,city hall,2020,,['Frederick Wiseman'],5.571428571
71,"adventure,comedy,crime,romance",23,bottle rocket,1996,"Luke Wilson,Owen Wilson,Ned Dowd,Shea Fowler,Haley Miller,Robert Musgrave,Andrew Wilson,Brian Tenenbaum,Jenni Tooley,Temple Nash",['Wes Anderson'],7.565217391
72,comedy,5,mr. wrong,1996,"Ellen DeGeneres,Bill Pullman,Joan Cusack,Dean Stockwell,Joan Plowright,John Livingston,Robert Goulet,Ellen Cleghorne,Hope Davis,Brad William Henke",['Nick Castle'],4.8
73,"mystery,sci-fi,thriller",3,unforgettable,2019,"Sarah Geronimo,Gina Pareño,Arlene Muhlach,Donna Cariaga,TJ Valderrama,Cherie Gil,Antonette Garcia,Keagan De Jesus,Ara Mina,Meg Imperial","['Perci M. Intalan', 'Jun Lana']",6
74,comedy,99,happy gilmore,1996,"Adam Sandler,Christopher McDonald,Julie Bowen,Frances Bay,Carl Weathers,Allen Covert,Robert Smigel,Bob Barker,Richard Kiel,Dennis Dugan",['Dennis Dugan'],6.878787879
75,"adventure,children,comedy,musical",26,muppet treasure island,1996,"Tim Curry,Billy Connolly,Jennifer Saunders,Kevin Bishop,Dave Goelz,Dave Goelz,Dave Goelz,Steve Whitmire,Steve Whitmire,Steve Whitmire,Jerry Nelson,Jerry Nelson,Jerry Nelson,Kevin Clash,Kevin Clash,Kevin Clash,Bill Barretta,Bill Barretta,Bill Barretta,Frank Oz,Frank Oz,Frank Oz",['Brian Henson'],6.653846154
76,documentary,1,catwalk,1995,,['Robert Leacock'],8
77,"action,drama,war",237,braveheart,1995,"Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,James Robinson,Sean Lawlor,Sandy Nelson,James Cosmo,Sean McGinley,Alan Tall",['Mel Gibson'],8.063291139
78,"crime,drama,thriller",104,taxi driver,2020,"Shahrzad Abdolmajid,Amir Aghamirzadeh,Fereshteh Alousi,Hoshang Hedayati,Mahmood Kheyrkhah,Abbas Mahboob,Fereshteh Mohammadi,Amir Ali Mousavi,Babak Noori,Reza Pakhireh",['Afshin Amerian'],8.211538462
79,"drama,mystery",3,before and after,1996,"Meryl Streep,Liam Neeson,Edward Furlong,Julia Weldon,Alfred Molina,Daniel von Bargen,John Heard,Ann Magnuson,Alison Folland,Kaiulani Lee",['Barbet Schroeder'],6.666666667
80,documentary,5,anne frank remembered,1995,"Kenneth Branagh,Glenn Close",['Jon Blair'],7.8
81,"comedy,romance",2,if lucy fell,1996,"Sarah Jessica Parker,Eric Schaeffer,Ben Stiller,Elle Macpherson,James Rebhorn,Robert John Burke,David Thornton,Bill Sage,Dominic Chianese,Scarlett Johansson",['Eric Schaeffer'],5
82,"comedy,romance",16,boomerang,2024,"Jeet,Rukmini Maitra,Syed Arefin,Biswanath Basu,Ambarish Bhattacharya,Ayesha Bhattacharya,Shyamal Chakraborty,Saurav Das,Rajatabha Dutta,Nanak Madnani",['Sauvik Kundu'],5.3125
83,documentary,1,jupiter's wife,1995,,['Michel Negroponte'],6
84,"comedy,romance",1,pie in the sky,2022,"K Callan,Laurie O'Brien,Eganie González Zaga",['Maria Gobetti'],4
85,thriller,6,jade,2024,"Katherine McNamara,Mickey Rourke,Mark Dacascos,Shaina West,Steven Michael Quezada,Keith Jardine,Chris Bruno,Emily Eruraviel,Sean McNabb,Mathew Yanagiya",['James Bamford'],5.666666667
86,comedy,31,down periscope,1996,"Kelsey Grammer,Lauren Holly,Rob Schneider,Harry Dean Stanton,Bruce Dern,William H. Macy,Ken Hudson Campbell,Toby Huss,Duane Martin,Jonathan Penner",['David S. Ward'],5.903225806
87,documentary,1,man of the year,2006,"Robin Williams,Laura Linney,Lewis Black,Christopher Walken,Jeff Goldblum,David Alpay,Faith Daniels,Tina Fey,Amy Poehler,Doug Murray",['Barry Levinson'],6
88,"action,comedy,crime,drama,thriller",51,bad boys,2003,"Peter Franzén,Niko Saarela,Lauri Nurkse,Jasper Pääkkönen,Vesa-Matti Loiri,Risto Tuorila,Hannu-Pekka Björkman,Elsa Saisio,Janna Herttuainen,Eero Milonoff",['Aleksi Mäkelä'],6.490196078
89,"crime,drama,thriller",1,amateur,2018,"Michael Rainey Jr.,Tekola Cornetet,Hanna Longo,Walter Anaruk,Sharon Leal,Brian White,Frankie Jones,Ketrick 'Jazz' Copeland,Josh Charles,Corey Parker Robinson",['Ryan Koo'],4
90,"adventure,drama,imax",201,apollo 13,1995,"Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,Ed Harris,Kathleen Quinlan,Mary Kate Schellhardt,Emily Ann Lloyd,Miko Hughes,Max Elliott Slade",['Ron Howard'],7.691542289
91,"action,drama,romance,war",44,rob roy,1995,"Liam Neeson,Jessica Lange,John Hurt,Tim Roth,Eric Stoltz,Andrew Keir,Brian Cox,Brian McCardie,Gilbert Martin,Vicki Masson",['Michael Caton-Jones'],7.090909091
92,"action,adventure,comedy,crime",137,batman forever,1995,"Val Kilmer,Val Kilmer,Tommy Lee Jones,Tommy Lee Jones,Jim Carrey,Jim Carrey,Nicole Kidman,Chris O'Donnell,Chris O'Donnell,Michael Gough,Pat Hingle,Drew Barrymore,Debi Mazar,Elizabeth Sanders",['Joel Schumacher'],5.832116788
93,"adventure,drama,war",6,beyond rangoon,1995,"Patricia Arquette,U Aung Ko,Frances McDormand,Spalding Gray,Tiara Jacquelina,Kuswadinata,Victor Slezak,Jit Murad,Ye Myint,Cho Cho Myint",['John Boorman'],4.833333333
94,"comedy,drama",3,blue in the face,1995,"Harvey Keitel,Lou Reed,Michael J. Fox,Roseanne Barr,Mel Gorham,Jim Jarmusch,Lily Tomlin,Jared Harris,Giancarlo Esposito,Malik Yoba","['Paul Auster', 'Wayne Wang', 'Harvey Wang']",6.666666667
95,"comedy,war",11,canadian bacon,1995,"John Candy,Alan Alda,Rhea Perlman,Kevin Pollak,Rip Torn,Kevin J. O'Connor,Bill Nunn,G.D. Spradlin,Steven Wright,Jim Belushi",['Michael Moore'],5.727272727
96,"adventure,children",62,casper,1995,"Bill Pullman,Christina Ricci,Cathy Moriarty,Eric Idle,Chauncey Leopardi,Spencer Vrooman,Malachi Pearson,Ben Stein,Don Novello",['Brad Silberling'],5.612903226
97,"crime,drama,mystery",14,clockers,1995,"Harvey Keitel,John Turturro,Delroy Lindo,Mekhi Phifer,Isaiah Washington,Keith David,Peewee Love,Regina Taylor,Thomas Jefferson Byrd,Sticky Fingaz",['Spike Lee'],5.785714286
98,"action,adventure,mystery,sci-fi",57,congo,1995,"Laura Linney,Tim Curry,Dylan Walsh,Ernie Hudson,Grant Heslov,Joe Don Baker,Lola Noh,Mary Ellen Trainor,Misty Rosas,Stuart Pankin",['Frank Marshall'],5.754385965
99,"drama,thriller,war",103,crimson tide,1995,"Gene Hackman,Denzel Washington,Matt Craven,George Dzundza,Viggo Mortensen,James Gandolfini,Rocky Carroll,Jaime Gomez,Michael Milhoan,Scott Burkholder",['Tony Scott'],7.27184466
100,documentary,17,crumb,1994,,['Terry Zwigoff'],8.411764706
101,"action,romance,western",66,desperado,2024,"Danny Kwok-Kwan Chan,Danny Kwok-Kwan Chan,Miya Muqi,Xing Yu,Tat-Wah Lok,Baotong Wang,Liqun Luo",['Siyu Cheng'],7.121212121
102,"crime,film-noir,mystery,thriller",14,devil in a blue dress,1995,"Denzel Washington,Tom Sizemore,Jennifer Beals,Don Cheadle,Maury Chaykin,Terry Kinney,Mel Winkler,Albert Hall,Lisa Nicole Carson,Jernard Burks",['Carl Franklin'],6.642857143
103,"action,drama,romance",54,first knight,1995,"Sean Connery,Richard Gere,Julia Ormond,Ben Cross,Liam Cunningham,Christopher Villiers,Valentine Pelka,Colin McCormack,Ralph Ineson,John Gielgud",['Jerry Zucker'],6.166666667
104,"adventure,children,drama",10,free willy 2: the adventure home,1995,"Jason James Richter,Michael Madsen,Francis Capra,Mary Kate Schellhardt,August Schellenberg,Jayne Atkinson,Mykelti Williamson,Elizabeth Peña,Jon Tenney,Paul Tuerpe",['Dwight H. Little'],4.8
105,"action,adventure,crime,thriller",35,hackers,1995,"Jonny Lee Miller,Angelina Jolie,Jesse Bradford,Matthew Lillard,Laurence Mason,Renoly Santiago,Fisher Stevens,Alberta Watson,Darren Lee,Peter Kim",['Iain Softley'],6.457142857
106,"comedy,drama",6,jeffrey,2016,"Alexandra de la Cruz,Alexandro de la Cruz,Ana María De la Cruz,Jeyson de la Cruz,Joselito De La Cruz,Junior de la Cruz,Verónica López",['Yanillys Perez'],7.666666667
107,"action,sci-fi,thriller",53,johnny mnemonic,1995,"Keanu Reeves,Dolph Lundgren,Dina Meyer,Ice-T,Takeshi Kitano,Denis Akiyama,Henry Rollins,Barbara Sukowa,Udo Kier,Tracy Tweed",['Robert Longo'],5.358490566
108,"action,crime,sci-fi",62,judge dredd,1995,"Sylvester Stallone,Armand Assante,Rob Schneider,Jürgen Prochnow,Max von Sydow,Diane Lane,Joanna Miles,Joan Chen,Balthazar Getty,Maurice Roëves",['Danny Cannon'],5.338709677
109,comedy,10,jury duty,1995,"Pauly Shore,Tia Carrere,Stanley Tucci,Brian Doyle-Murray,Abe Vigoda,Charles Napier,Richard Edson,Richard Riehle,Alex Datcher,Richard T. Jones",['John Fortenberry'],5.4
110,drama,20,kids,2024,"Edward Chen,Patty Pei-Yu Lee,Alyssa Chia,Michael Jong-Quin Huang,Tzu-Chien Kuo,J.C. Lei,Mei-Hsiu Lin,Ai-Chen Tan,Jen-Ya Wu",['Miro Wang'],7.95
111,comedy,13,living in oblivion,1995,"Steve Buscemi,Catherine Keener,Dermot Mulroney,Danielle von Zerneck,James Le Gros,Rica Martens,Peter Dinklage,Kevin Corrigan,Hilary Gilford,Robert Wightman",['Tom DiCillo'],8.615384615
112,horror,8,lord of illusions,1995,"Scott Bakula,Kevin J. O'Connor,J. Trevor Edmond,Daniel von Bargen,Joseph Latimore,Sheila Tousey,Susan Traylor,Ashley Tesoro,Michael Angelo Stuno,Keith Brunsmann",['Clive Barker'],5.5
113,"drama,romance",2,mad love,2015,"Melvil Poupaud,Dominique Blanc,Diane Rouxel,Lise Lamétrie,Jean-François Stévenin,J.P. 'Van Gogh' Bodet,Jacques Bonnaffé,Virginie Petit,Nathalie Tetrel,Vanina Delannoy",['Philippe Ramos'],3
114,"comedy,romance",36,mallrats,1995,"Shannen Doherty,Jeremy London,Jason Lee,Claire Forlani,Ben Affleck,Joey Lauren Adams,Renée Humphrey,Jason Mewes,Ethan Suplee,Stan Lee",['Kevin Smith'],6.805555556
115,"comedy,horror,thriller",2,mute witness,1995,"Marina Zudina,Fay Ripley,Evan Richards,Oleg Yankovskiy,Igor Volkov,Sergei Karlenkov,Alec Guinness,Aleksandr Pyatkov,Nikolai Pastukhov,Aleksandr Bureyev",['Anthony Waller'],7
116,drama,2,nadja,1994,"Elina Löwensohn,Peter Fonda,Peter Fonda,Nic Ratner,Karl Geary,Martin Donovan,Jack Lotz,Galaxy Craze,David Lynch,Isabel Gillies,José Zúñiga",['Michael Almereyda'],7
